平仮名,漢字,IPA,输入法
あ,安,[a],ａ
い,以,[i],i
う,宀(宇),[ɯ],u
え,衣,[e],e
お,扵(於),[o],o
か,加,[ka],ka
き,幾,[kʲi],ki
く,久,[kɯ],ku
け,計,[ke],ke
こ,己,[ko],ko
が,加,[ga],ga
ぎ,幾,[gʲi],gi
ぐ,久,[gɯ],gu
げ,計,[ge],ge
ご,己,[go],go
さ,左,[sa],sa
し,之,[ɕi],si
す,寸,[sɨ],su
せ,世,[se],se
そ,曽(曾),[so],so
ざ,左,[za],za
じ,之,[ʑi],zi
ず,寸,[zɨ],zu
ぜ,世,[ze],ze
ぞ,曽(曾),[zo],zo
た,太,[ta],ta
ち,知,[tɕi],ti
つ,川,[t͡sɨ],tu
て,天,[te],te
と,止,[to],to
だ,太,[da],da
ぢ,知,[dʑi],di
づ,川,[d͡zɨ],du
で,天,[de],de
ど,止,[do],do
な,奈,[na],na
に,仁,[ɲi],ni
ぬ,奴,[nɯ],nu
ね,祢(禰),[ne],ne
の,乃,[no],no
は,波,[ha],ha
ひ,比,[çi],hi
ふ,不,[ɸɯ],hu
へ,部,[he],he
ほ,保,[ho],ho
ば,波,[pa],ba
び,比,[pʲi],bi
ぶ,不,[pɯ],bu
べ,部,[pe],be
ぼ,保,[po],bo
ぱ,波,[ba],pa
ぴ,比,[bʲi],pi
ぷ,不,[bɯ],pu
ぺ,部,[be],pe
ぽ,保,[bo],po
ま,末,[ma],ma
み,美,[mʲi],mi
む,武,[mɯ],mu
め,女,[me],me
も,毛,[mo],mo

ら,良,[ɾa],ma
り,利,[ɾʲi],mi
る,留,[ɾɯ],mu
れ,禮(礼),[ɾe],me
ろ,呂,[ɾo],mo

や,也,[ja],ya
𛀆,以,[i],yi
ゆ,由,[jɯ],yu
𛀁,江,[e],ye
よ,与(與),[jo],yo
わ,和,[ɰa],wa
ゐ,爲(為),[i],wi
𛄟,汙(污),[ɯ],wu
ゑ,恵(惠),[e],we
を,遠,[o],wo
ん,无,,n
ゟ,与利,,yori
きゃ,,[kʲa],kya
きゅ,,[kʲɨ],kyu
きょ,,[kʲo],kuo
ぎゃ,,[gʲa],gua
ぎゅ,,[gʲɨ],gyu
ぎょ,,[gʲo],gyo
しゃ,,[ɕa],sya
しゅ,,[ɕɨ],syu
しょ,,[ɕo],syo
じゃ,,[ʑa],zya
じゅ,,[ʑɨ],zyu
じょ,,[ʑo],zyo
ちゃ,,[t͡ɕa],tya
ちゅ,,[t͡ɕɨ],tyu
ちょ,,[t͡ɕo],tyo
ぢゃ,,[d͡ʑa],dya
ぢゅ,,[d͡ʑɨ],dyu
ぢょ,,[d͡ʑo],dyo
にゃ,,[ɲa],nya
にゅ,,[ɲɨ],nyu
にょ,,[ɲo],nyo
ひゃ,,[ça],hya
ひゅ,,[çɨ],hyu
ひょ,,[ço],hyo
びゃ,,[bʲa],bya
びゅ,,[bʲɨ],byu
びょ,,[bʲo],byo
ぴゃ,,[pʲa],pya
ぴゅ,,[pʲɨ],pyu
ぴょ,,[pʲo],pyo
みゃ,,[mʲa],mya
みゅ,,[mʲɨ],myu
みょ,,[mʲo],myo
りゃ,,[ɾʲa],rya
りゅ,,[ɾʲɨ],ryu
りょ,,[ɾʲo],ryo
くぁ,,[kʷa],kwa
くゐ,,[kʷi],kwi
くゑ,,[kʷe],kwe
ぐぁ,,[kʷa],gwa
ぐゐ,,[kʷi],gwi
ぐゑ,,[kʷe],gwe
