幫 ;p    ;p   ;唇音(幫組)
滂 ;ph   ;pʰ  ;唇音(幫組)
並 ;b    ;b   ;唇音(幫組)
明 ;m    ;m   ;唇音(幫組)
端 ;t    ;t   ;舌頭音(端組)
透 ;th   ;tʰ  ;舌頭音(端組)
定 ;d    ;d   ;舌頭音(端組)
泥 ;n    ;n   ;舌頭音(端組)
來 ;l    ;l   ;半舌音
知 ;tr   ;ʈ   ;舌上音(知組)
徹 ;trh  ;ʈʰ  ;舌上音(知組)
澄 ;dr   ;ɖ   ;舌上音(知組)
孃 ;nr   ;ɳ   ;舌上音(知組)
見 ;k    ;k   ;牙音(見組)
溪 ;kh   ;kʰ  ;牙音(見組)
羣 ;g    ;g   ;牙音(見組)
疑 ;ng   ;ŋ   ;牙音(見組)
云 ;     ;∅   ;喉音
影 ;q    ;ʔ   ;喉音
曉 ;h    ;x   ;喉音
匣 ;gh   ;ɣ   ;喉音
精 ;ts   ;ts  ;齒頭音(精組)
清 ;tsh  ;tsʰ ;齒頭音(精組)
從 ;dz   ;dz  ;齒頭音(精組)
心 ;s    ;s   ;齒頭音(精組)
邪 ;z    ;z   ;齒頭音(精組)
莊 ;tsr  ;tʂ  ;正齒音(莊組, 照二)
初 ;tsrh ;tʂʰ ;正齒音(莊組, 照二)
崇 ;dzr  ;dʐ  ;正齒音(莊組, 照二)
生 ;sr   ;ʂ   ;正齒音(莊組, 照二)
俟 ;zr   ;ʐ   ;正齒音(莊組, 照二)
章 ;tj   ;tɕ  ;正齒音(章組, 照三)
昌 ;tjh  ;tɕʰ ;正齒音(章組, 照三)
常 ;dj   ;dʑ  ;正齒音(章組, 照三)
書 ;sj   ;ɕ   ;正齒音(章組, 照三)
船 ;zj   ;ʑ   ;正齒音(章組, 照三)
日 ;nj   ;ɲ   ;半齒音
以 ;j    ;j   ;半舌音
